number_flights,origin_fips,dest_fips
362,12095,44003
363,51107,36081
363,06081,32031
363,48201,24003
363,32031,06081
364,12005,13063
364,13063,12005
364,37119,26163
365,26163,37119
365,13245,13063
366,04013,37119
366,13063,13245
366,37119,04013
366,45051,37119
366,06037,06079
367,37119,45051
368,08031,04019
368,17031,29077
368,06079,06037
368,04019,08031
369,29077,17031
371,08031,31055
371,48029,17031
372,48453,13063
373,06081,06067
373,06067,06081
373,48439,42045
373,17031,55079
373,42045,48439
373,13063,48453
374,13063,01073
374,01073,13063
374,48201,12057
375,49035,35001
377,21015,13063
377,35001,49035
377,27053,55079
378,13063,01097
378,01097,13063
378,18003,17031
379,55079,27053
379,08077,08031
379,48201,29189
379,17031,18003
380,41051,17031
380,17031,20173
381,48113,40143
381,40143,48113
381,20173,17031
381,42045,33011
382,08031,08067
382,13063,06081
382,08067,08031
383,36055,13063
384,08031,08077
384,12057,48201
384,17031,51710
384,05119,48113
384,06037,25025
385,13063,36055
386,48453,08031
387,01101,13063
387,04013,29165
387,13063,01101
388,33011,42045
388,48113,05119
389,48453,17031
389,35001,32003
390,32003,35001
390,17031,55087
390,55087,17031
391,37081,13063
391,13063,37081
391,32003,04019
392,25025,12095
392,12095,25025
393,29165,04013
393,35001,06037
393,08031,26163
394,24003,36001
394,06067,53033
394,26163,08031
395,53033,06067
395,36029,24003
395,36001,24003
395,37119,37183
395,37183,37119
395,24003,36029
396,06081,06019
396,13063,21015
397,48029,08031
397,26081,17031
398,42045,08031
398,17031,48453
398,06081,41029
398,17031,26081
398,08031,08037
399,34013,12011
399,41029,06081
399,08037,08031
399,12011,34013
400,17031,41051
400,47037,08031
401,12011,24003
402,17031,36119
403,36119,17031
403,24003,26163
403,24003,36103
403,42003,37119
403,06081,06053
403,37119,42003
404,26163,24003
404,06081,42045
404,06019,06081
404,24003,12011
405,49035,13063
405,36103,24003
405,08031,42045
406,41039,06081
406,53033,02020
406,47037,13063
406,13063,49035
407,06037,35001
407,13063,47037
407,08031,48453
408,08031,47037
408,02020,53033
410,53033,06085
410,06085,53033
410,17031,19113
410,06081,41039
410,19113,17031
410,48201,40143
411,40143,48201
411,12031,37119
411,37119,12031
411,06053,06081
413,06081,06023
413,48201,21015
414,27053,34013
414,34013,27053
414,29189,48201
417,24003,39035
417,06023,06081
417,21015,48201
418,35001,48201
419,13063,45063
419,13063,18097
419,18097,13063
420,37183,34013
420,34013,37183
421,48201,47157
422,13063,28121
422,06001,41051
422,28121,13063
424,41051,06067
424,39035,24003
425,45063,13063
425,48439,48029
425,08031,24003
425,06067,41051
425,39049,36081
426,12081,13063
426,41051,06001
426,48029,48439
427,41051,53033
427,47157,48201
427,13063,12081
427,08031,48029
427,53033,41051
430,24003,08031
430,48201,35001
430,42045,44003
431,39113,13063
432,44003,42045
432,13063,39113
433,29189,48113
435,04013,27053
435,17143,17031
435,13063,39035
435,13063,05119
435,05119,13063
435,17031,17143
436,06059,06067
436,16083,49035
436,36081,39049
437,24003,47037
437,27053,04013
437,42003,36081
438,21015,26163
439,48113,48375
440,48375,48113
440,06067,06059
441,12091,13063
442,13063,12091
443,12095,34013
443,48439,37119
443,47037,24003
443,37119,48439
443,26163,27053
